Date,Stock Code,Stock Name,Aggregated Reportable Short Positions (Shares),Aggregated Reportable Short Positions (HK$)
02/12/2022,425,MINTH GROUP,17454033,349080660
02/12/2022,435,SUNLIGHT REIT,0,0
02/12/2022,440,DAH SING,571127,9983300
02/12/2022,460,SIHUAN PHARM,73385166,62377391
02/12/2022,467,UNITEDENERGY GP,78249560,56339683
02/12/2022,480,HKR INT'L,0,0
02/12/2022,486,RUSAL,0,0
02/12/2022,489,DONGFENG GROUP,18440902,82984059
02/12/2022,493,GOME RETAIL,872175263,148269795
02/12/2022,506,CHINA FOODS,0,0
02/12/2022,511,TVB,2746534,10162176
02/12/2022,512,GRAND PHARMA,12255018,49877923
02/12/2022,517,COSCO SHIP INTL,933203,2510316
02/12/2022,520,XIABUXIABU,49788849,373416368
02/12/2022,522,ASMPT,7007312,401869343
02/12/2022,525,GUANGSHEN RAIL,8857206,11425796
02/12/2022,535,GEMDALE PPT,45591112,27354667
02/12/2022,546,FUFENG GROUP,45109401,225095911
02/12/2022,548,SHENZHENEXPRESS,6256905,41170435
02/12/2022,551,YUE YUEN IND,5040050,51307709
02/12/2022,552,CHINACOMSERVICE,25015985,65541881
02/12/2022,558,LK TECH,39009435,292570763
02/12/2022,564,ZMJ,1451200,12161056
02/12/2022,570,TRAD CHI MED,140465604,528150671
02/12/2022,576,ZHEJIANGEXPRESS,97408414,563994717
02/12/2022,579,JNCEC,16867622,28337605
02/12/2022,580,SUN.KING TECH,12970049,22567885
02/12/2022,581,CHINA ORIENTAL,22050306,30429422
02/12/2022,586,CONCH VENTURE,40884422,686858290
02/12/2022,587,CONCH ENVIRO,25085037,78516166
02/12/2022,590,LUK FOOK HOLD,342000,6552720
02/12/2022,598,SINOTRANS,27008488,67521220
02/12/2022,603,CHINA OIL & GAS,0,0
02/12/2022,604,SHENZHEN INVEST,38231908,48172204
02/12/2022,606,SCE CM,2312272,4393317
02/12/2022,607,FULLSHARE,75733619,7724829
02/12/2022,609,TIANDE CHEMICAL,372000,818400
02/12/2022,622,OSHIDORI,0,0
02/12/2022,631,SANY INT'L,35250480,280946326
02/12/2022,636,KERRY LOG NET,4640894,62652069
02/12/2022,639,SHOUGANG RES,10118140,26408345
02/12/2022,650,PRODUCTIVE TECH,27038243,31093979
02/12/2022,656,FOSUN INTL,131895249,784776732
02/12/2022,658,C TRANSMISSION,18508426,66075081
02/12/2022,659,NWS HOLDINGS,11713607,73210044
02/12/2022,662,ASIA FINANCIAL,0,0
02/12/2022,665,HAITONG INT'L,194600857,147896651
02/12/2022,667,CHINA EAST EDU,16342451,77626642
02/12/2022,669,TECHTRONIC IND,53368765,5187443958
02/12/2022,670,CHINA EAST AIR,84976247,236233967
02/12/2022,683,KERRY PPT,4857840,71701718
02/12/2022,686,BJ ENERGY INTL,0,0
02/12/2022,688,CHINA OVERSEAS,76610198,1551356510
02/12/2022,691,SHANSHUI CEMENT,0,0
02/12/2022,694,BEIJING AIRPORT,120816720,607708102
02/12/2022,696,TRAVELSKY TECH,27715863,419618166
02/12/2022,697,SHOUCHENG,18582330,30475021
02/12/2022,700,TENCENT,45925264,13593878144
02/12/2022,708,EVERG VEHICLE,105749535,338398512
02/12/2022,709,GIORDANO INT'L,3345895,4818089
02/12/2022,710,BOE VARITRONIX,3716866,51813112
02/12/2022,728,CHINA TELECOM,28838117,90263306
02/12/2022,732,TRULY INT'L,34118478,46401130
02/12/2022,743,ASIA CEMENT CH,9666975,31127660
02/12/2022,746,L & M CHEMICAL,1378000,7923500
02/12/2022,751,SKYWORTH GROUP,29390010,86700530
02/12/2022,753,AIR CHINA,145627479,882502523
02/12/2022,754,HOPSON DEV HOLD,54332470,464542619
02/12/2022,762,CHINA UNICOM,0,0
02/12/2022,763,ZTE,12803910,212288828
02/12/2022,772,CHINA LIT,26362071,717048331
02/12/2022,775,CKLIFE SCIENCES,34767483,23989563
02/12/2022,776,IMPERIUM TEC GP,0,0
02/12/2022,777,NETDRAGON,2070941,33839176
02/12/2022,778,FORTUNE REIT,0,0
02/12/2022,780,TONGCHENGTRAVEL,39420122,648066806
02/12/2022,788,CHINA TOWER,804445109,659644989
02/12/2022,799,IGG,24329822,68610098
02/12/2022,806,VALUE PARTNERS,47239308,112429553
02/12/2022,807,SIICENVIRONMENT,541000,562640
02/12/2022,808,PROSPERITY REIT,0,0
02/12/2022,811,XINHUA WINSHARE,2210831,11562646
02/12/2022,813,SHIMAO GROUP,158262475,699520140
02/12/2022,817,CHINA JINMAO,111988345,199339254
02/12/2022,818,HI SUN TECH,10151406,8222639
02/12/2022,819,TIANNENG POWER,127418655,1065219956
02/12/2022,823,LINK REIT,22012275,1144638300
02/12/2022,826,TIANGONG INT'L,35365822,108573074
02/12/2022,830,CSC DEVELOPMENT,1192000,2169440
02/12/2022,836,CHINA RES POWER,62870334,867610609
02/12/2022,838,EVA HOLDINGS,19093347,22721083
02/12/2022,839,CHINA EDU GROUP,11183727,86338372
02/12/2022,853,MICROPORT,94188631,1802770397
02/12/2022,855,CHINA WATER,32299373,181522476
02/12/2022,856,VSTECS,3205480,13879728
02/12/2022,857,PETROCHINA,453208942,1617955923
02/12/2022,860,APOLLO FMG,105157163,29444006
02/12/2022,861,DC HOLDINGS,3841910,13792457
02/12/2022,867,CMS,12723024,140971106
02/12/2022,868,XINYI GLASS,89476940,1275941164
02/12/2022,873,SHIMAO SERVICES,63360984,181212414
02/12/2022,874,BAIYUNSHAN PH,4379958,98768053
02/12/2022,880,SJM HOLDINGS,127880691,503849923
02/12/2022,881,ZHONGSHENG HLDG,90194903,3819754142
02/12/2022,883,CNOOC,16431473,163821786
02/12/2022,884,CIFI HOLD GP,328219274,357759009
02/12/2022,902,HUANENG POWER,282858518,978690472
02/12/2022,906,COFCO PACKAGING,931840,4090778
02/12/2022,909,MING YUAN CLOUD,103234862,637991447
02/12/2022,914,CONCH CEMENT,42866639,1189549232
02/12/2022,916,CHINA LONGYUAN,60028001,546254809
02/12/2022,921,HISENSE HA,1214000,9833400
02/12/2022,934,SINOPEC KANTONS,15777194,40862932
02/12/2022,939,CCB,764339926,3561824055
02/12/2022,941,CHINA MOBILE,4570045,234671811
02/12/2022,945,MANULIFE-S,3500000,490000000
02/12/2022,956,CHINA SUNTIEN,78547964,248211566
02/12/2022,960,LONGFOR GROUP,112749255,2503033461
02/12/2022,966,CHINA TAIPING,14946597,117330786
02/12/2022,968,XINYI SOLAR,188560011,1676298498
02/12/2022,973,L'OCCITANE,741023,16710069
02/12/2022,981,SMIC,8281031,130509049
02/12/2022,989,HUA YIN INTL H,0,0
02/12/2022,990,THEME INT'L,101058132,80846506
02/12/2022,991,DATANG POWER,96773162,120966453
02/12/2022,992,LENOVO GROUP,608527709,3827639290
02/12/2022,995,ANHUIEXPRESSWAY,6816473,40217191
02/12/2022,998,CITIC BANK,115841264,393860298
02/12/2022,1003,HUANXI MEDIA,6450680,5676598
02/12/2022,1024,KUAISHOU-W,100419019,6025141140
02/12/2022,1030,SEAZEN,96144738,326892109
02/12/2022,1033,SINOPEC SSC,15298000,8260920
02/12/2022,1038,CKI HOLDINGS,2765486,109098423
02/12/2022,1044,HENGAN INT'L,19214651,685002308
02/12/2022,1052,YUEXIUTRANSPORT,12844119,49192976
02/12/2022,1055,CHINA SOUTH AIR,164157010,720649274
02/12/2022,1060,ALI PICTURES,343623375,175247921
02/12/2022,1066,WEIGAO GROUP,136609898,1576478223
02/12/2022,1070,TCL ELECTRONICS,13345132,41636812
02/12/2022,1071,HUADIAN POWER,94432187,269131733
02/12/2022,1072,DONGFANG ELEC,8748840,114434827
02/12/2022,1083,TG SMART ENERGY,38168633,133590216
02/12/2022,1088,CHINA SHENHUA,33431933,753890089
02/12/2022,1093,CSPC PHARMA,94547809,859439584
02/12/2022,1099,SINOPHARM,37207993,677185473
02/12/2022,1108,LUOYANG GLASS,15209067,136881603
02/12/2022,1109,CHINA RES LAND,67163476,2256692794
02/12/2022,1112,H&H INTL HLDG,1776991,18303007
02/12/2022,1113,CK ASSET,20564650,950086830
02/12/2022,1115,TIBET WATER,1239000,545160
02/12/2022,1117,CH MODERN D,179528246,174142399
02/12/2022,1119,IDREAMSKY,134028528,528072400
02/12/2022,1121,GOLDENSOLAR,25596707,223203285
02/12/2022,1128,WYNN MACAU,153687217,1045073076
02/12/2022,1133,HARBIN ELECTRIC,4033060,12663808
02/12/2022,1137,HK TECH VENTURE,18081526,107585080
02/12/2022,1138,COSCO SHIP ENGY,115392631,789285596
02/12/2022,1140,WEALTHKING INV,0,0
02/12/2022,1157,ZOOMLION,53898390,197807091
02/12/2022,1164,CGN MINING,56585000,45833850
02/12/2022,1167,JACOBIO-B,2713202,12399333
02/12/2022,1171,YANKUANG ENERGY,119546830,2839237213
02/12/2022,1176,ZHUGUANG HOLD,38836000,25243400
02/12/2022,1177,SINO BIOPHARM,145373706,652727940
02/12/2022,1179,HWORLD-S,7103047,212736258
02/12/2022,1183,MECOM POWER,5340502,8758423
02/12/2022,1186,CHINA RAIL CONS,3421331,15738123
02/12/2022,1193,CHINA RES GAS,20086697,529284466
02/12/2022,1196,REALORD GROUP,11099726,97677589
02/12/2022,1198,ROYALE HOME,0,0
02/12/2022,1199,COSCO SHIP PORT,42563547,250699292
02/12/2022,1208,MMG,96363288,187908412
02/12/2022,1209,CHINA RES MIXC,20688213,767532702
02/12/2022,1211,BYD COMPANY,32881192,6293460149
02/12/2022,1216,ZYBANK,0,0
02/12/2022,1221,SINO HOTELS,0,0
02/12/2022,1224,C C LAND,0,0
02/12/2022,1230,YASHILI INT'L,0,0
02/12/2022,1231,NEWTON RES,0,0
02/12/2022,1233,TIMES CHINA,57514966,73619156
02/12/2022,1234,CHINA LILANG,3218989,12199968
02/12/2022,1238,POWERLONG,66462820,80420012
02/12/2022,1250,SDHS NEW ENERGY,276366069,16858330
02/12/2022,1252,CHINA TIANRUI,5812000,38359200
02/12/2022,1257,CEB GREENTECH,25255141,39903123
02/12/2022,1258,CHINFMINING,54380622,203927333
02/12/2022,1268,MEIDONG AUTO,27853644,412233931
02/12/2022,1271,GRAND MING,0,0
02/12/2022,1277,KINETIC DEV,2078000,1350700
02/12/2022,1282,GLORY SUN FIN,108752032,45132093
02/12/2022,1288,ABC,408224613,1028726025
02/12/2022,1299,AIA,114095470,9087704186
02/12/2022,1302,LIFETECH SCI,52438726,140535786
02/12/2022,1308,SITC,55683034,868655330
02/12/2022,1310,HKBN,12807769,66472321
02/12/2022,1313,CHINARES CEMENT,124485965,504168158
02/12/2022,1316,NEXTEER,49899853,252493256
02/12/2022,1336,NCI,39919763,724144501
02/12/2022,1339,PICC GROUP,115139715,290152082
02/12/2022,1347,HUA HONG SEMI,45615002,1192832302
02/12/2022,1357,MEITU,67574935,75683927
02/12/2022,1359,CHINA CINDA,194376851,194376851
02/12/2022,1361,361 DEGREES,5523508,18835162
02/12/2022,1368,XTEP INT'L,110911662,989332025
02/12/2022,1375,CC SECURITIES,9666017,11502560
02/12/2022,1378,CHINAHONGQIAO,229264161,1611727052
02/12/2022,1381,CANVEST ENV,12379775,53233033
02/12/2022,1382,PACIFICTEXTILES,10942316,28231175
02/12/2022,1385,SHANGHAI FUDAN,16527597,591687973
02/12/2022,1387,CHINA DILI,7878000,5199480
02/12/2022,1398,ICBC,827691988,3161783394
02/12/2022,1415,COWELL,7234499,92890967
02/12/2022,1426,SPRING REIT,0,0
02/12/2022,1448,FU SHOU YUAN,25433021,149800494
02/12/2022,1456,GUOLIAN SEC,1935000,8088300
02/12/2022,1458,ZHOU HEI YA,115813455,598755562
02/12/2022,1468,KINGKEY FIN INT,4170000,3544500
02/12/2022,1475,NISSIN FOODS,11125770,72762536
02/12/2022,1476,HENGTOU SEC,0,0
02/12/2022,1477,OCUMENSION-B,3501649,28958637
02/12/2022,1478,Q TECH,14873373,62914368
02/12/2022,1501,KDL MEDICAL,282200,8000370
02/12/2022,1503,CMC REIT,0,0
02/12/2022,1508,CHINA RE,9099000,4640490
02/12/2022,1513,LIVZON PHARMA,3704985,96700109
02/12/2022,1515,CR MEDICAL,6635816,33709945
02/12/2022,1516,SUNAC SERVICES,64885092,251754157
02/12/2022,1521,FRONTAGE,4334968,10013776
02/12/2022,1528,RS MACALLINE,859233,2070752
02/12/2022,1530,3SBIO,49397659,401602968
02/12/2022,1548,GENSCRIPT BIO,42430633,823154280
02/12/2022,1551,GRCB,0,0
02/12/2022,1558,HEC PHARM,9578877,63220588
02/12/2022,1563,IA FIN LEASING,732000,3147600
02/12/2022,1578,BANK OF TIANJIN,0,0
02/12/2022,1579,YIHAI INTL,47456762,1207774593
02/12/2022,1585,YADEA,34882339,477888044
02/12/2022,1600,TIAN LUN GAS,10043300,33745488
02/12/2022,1606,CDB LEASING,0,0
02/12/2022,1610,COFCO JOYCOME,90581459,199279210
02/12/2022,1618,MCC,28431733,48618263
02/12/2022,1622,REDCO GROUP,64049253,108883730
02/12/2022,1628,YUZHOU GROUP,94664449,32185913
02/12/2022,1638,KAISA GROUP,67644819,56821648
02/12/2022,1658,PSBC,1197641406,5425315569
02/12/2022,1666,TONG REN TANG,2647339,13898530
02/12/2022,1668,CHINASOUTHCITY,106824914,57685454
02/12/2022,1672,ASCLETIS-B,6946942,23758542
02/12/2022,1675,ASIAINFO TECH,3685828,38406328
02/12/2022,1681,CONSUN PHARMA,508000,1884680
02/12/2022,1686,SUNEVISION,5180896,20723584
02/12/2022,1691,JS GLOBAL LIFE,57339814,568237557
02/12/2022,1696,SISRAM MED,2111542,16047719
02/12/2022,1717,AUSNUTRIA,1843539,7540075
02/12/2022,1725,HK AERO TECH,472400,2187212
02/12/2022,1733,E-COMMODITIES,36562000,57036720
02/12/2022,1735,CENTRAL HOLDING,258000,4339560
02/12/2022,1755,S-ENJOY SERVICE,11393006,95587320
02/12/2022,1760,INTRON TECH,2761000,12176010
02/12/2022,1765,HOPE EDU,612338501,355156331
02/12/2022,1766,CRRC,30523899,94318848
02/12/2022,1772,GANFENGLITHIUM,48010577,3312729813
02/12/2022,1773,TIANLI INT HLDG,37550000,65337000
02/12/2022,1776,GF SEC,58382882,648049990
02/12/2022,1787,SD GOLD,50919580,784161532
02/12/2022,1788,GUOTAI JUNAN I,49633021,34246784
02/12/2022,1789,AK MEDICAL,29278875,233059845
02/12/2022,1797,KOOLEARN,23990116,950008594
02/12/2022,1798,DATANG RENEW,127084688,271961232
02/12/2022,1799,XINTE ENERGY,29270688,503455834
02/12/2022,1800,CHINA COMM CONS,8762028,33120466
02/12/2022,1801,INNOVENT BIO,48823938,1354864280
02/12/2022,1810,XIAOMI-W,715682061,7242702457
02/12/2022,1811,CGN NEW ENERGY,40784976,106448787
02/12/2022,1812,CHENMING PAPER,13473436,33144653
02/12/2022,1813,KWG GROUP,67995780,117632699
02/12/2022,1816,CGN POWER,105512409,192032584
02/12/2022,1818,ZHAOJIN MINING,67562358,593873127
02/12/2022,1821,ESR,40255747,667440285
02/12/2022,1830,PERFECT MEDICAL,7251529,27555810
02/12/2022,1833,PA GOODDOCTOR,111554511,2560176027
02/12/2022,1836,STELLA HOLDINGS,187500,1366875
02/12/2022,1848,CALC,3173000,13707360
02/12/2022,1857,CEB WATER,0,0
02/12/2022,1858,CHUNLI MEDICAL,2834356,40361229
02/12/2022,1860,MOBVISTA,10393103,42092067
02/12/2022,1866,CHINA XLX FERT,5441992,21114929
02/12/2022,1873,VIVA BIOTECH,41193369,72500329
02/12/2022,1876,BUD APAC,112897299,2681310851
02/12/2022,1877,JUNSHI BIO,20624216,650694015
02/12/2022,1880,CTG DUTY-FREE,3383421,659767095
02/12/2022,1882,HAITIAN INT'L,10981662,222927739
02/12/2022,1883,CITIC TELECOM,7067298,18445648
02/12/2022,1888,KB LAMINATES,38781219,309861940
02/12/2022,1890,CHINA KEPEI,2610000,5663700
02/12/2022,1896,MAOYAN ENT,20977357,163623385
02/12/2022,1898,CHINA COAL,107936870,733970716
02/12/2022,1899,XINGDA INT'L,2812995,4191363
02/12/2022,1907,CHINA RISUN GP,15459232,47305250
02/12/2022,1908,C&D INTL GROUP,22959643,424753396
02/12/2022,1910,SAMSONITE,11210306,230932304
02/12/2022,1911,CR HOLDINGS,9586364,73719139
02/12/2022,1913,PRADA,6011865,257007229
02/12/2022,1918,SUNAC,211317279,967833138
02/12/2022,1919,COSCO SHIP HOLD,360711438,2925369762
02/12/2022,1928,SANDS CHINA LTD,174397885,3723394845
02/12/2022,1929,CHOW TAI FOOK,59313019,830382266
02/12/2022,1951,JXR,74173316,476192689
02/12/2022,1952,EVEREST MED-B,4616688,64633632
02/12/2022,1958,BAIC MOTOR,61963227,130122777
02/12/2022,1963,BCQ,1443945,5819098
02/12/2022,1966,CHINA SCE GROUP,38405897,28804423
02/12/2022,1967,CONFIDENCE IN,0,0
02/12/2022,1972,SWIREPROPERTIES,20150045,363909813
02/12/2022,1988,MINSHENG BANK,1063605359,2829190255
02/12/2022,1992,FOSUN TOURISM,4585600,41728960
02/12/2022,1995,CIFI ES SERVICE,55847286,241818748
02/12/2022,1996,RSUN PPT,9220121,4056853
02/12/2022,1997,WHARF REIC,52968784,1912173102
02/12/2022,1999,MAN WAH HLDGS,78614230,582531444
02/12/2022,2001,NEW HIGHER EDU,9884385,25007494
02/12/2022,2002,SUNSHINE PAPER,5102996,10103932
02/12/2022,2005,SSY GROUP,16305102,63589898
02/12/2022,2007,COUNTRY GARDEN,1052460017,2999511048
02/12/2022,2009,BBMG,14475723,14186209
02/12/2022,2013,WEIMOB INC,233777565,1157198947
02/12/2022,2015,LI AUTO-W,32839280,2663265608
02/12/2022,2016,CZBANK,939000,2732490
02/12/2022,2018,AAC TECH,99794531,1804285120
02/12/2022,2019,DEXIN CHINA,23013668,19561618
02/12/2022,2020,ANTA SPORTS,57562037,5336000830
02/12/2022,2038,FIH,55167970,46892775
02/12/2022,2039,CIMC,8663816,51896258
02/12/2022,2057,ZTO EXPRESS-SW,3782652,734591018
02/12/2022,2066,SHENGJINGBANK,0,0
02/12/2022,2096,SIMCERE PHARMA,9690274,92251408
02/12/2022,2098,ZALL SMARTCOM,2517000,1019385
02/12/2022,2099,CHINAGOLDINTL,901700,20288250
02/12/2022,2121,AINNOVATION,0,0
02/12/2022,2126,JW THERAP-B,4252141,19814977
02/12/2022,2128,CHINA LESSO,23980519,213906229
02/12/2022,2137,BRII-B,19159044,164767778
02/12/2022,2138,EC HEALTHCARE,5777944,31605354
02/12/2022,2139,BANK OF GANSU,0,0
02/12/2022,2150,NAYUKI,21229500,140114700
02/12/2022,2155,MORIMATSU INTL,739000,5601620
02/12/2022,2156,C&D PROPERTY,1723499,7721276
02/12/2022,2158,YIDU TECH,17407165,101309700
02/12/2022,2160,CARDIOFLOW-B,23619567,62828048
02/12/2022,2162,KEYMED BIO-B,2550115,125083141
02/12/2022,2163,BROAD HOMES,1960058,11642745
02/12/2022,2171,CARSGEN-B,3564607,49334161
02/12/2022,2179,RECBIO-B,71000,1473250
02/12/2022,2185,BIOHEART-B,18100,171769
02/12/2022,2186,LUYE PHARMA,72117139,224284302
02/12/2022,2190,ZYLOXTB-B,254000,2661920
02/12/2022,2191,SF REIT,0,0
02/12/2022,2192,MEDLIVE,6230000,60929400
02/12/2022,2196,FOSUN PHARMA,51729264,1249261726
02/12/2022,2197,CLOVER BIO-B,5432000,24063760
02/12/2022,2199,REGINA MIRACLE,0,0
02/12/2022,2202,CHINA VANKE,69401243,1090987540
02/12/2022,2208,GOLDWIND,42957465,346237168
02/12/2022,2232,CRYSTAL INTL,634000,1439180
02/12/2022,2233,WESTCHINACEMENT,65813199,55941219
02/12/2022,2238,GAC GROUP,71898162,394720909
02/12/2022,2246,GOGOX,147600,680436
02/12/2022,2252,MEDBOT-B,1117619,35707927
02/12/2022,2255,HAICHANG HLDG,170495259,260857746
02/12/2022,2257,SIRNAOMICS-B,481750,27363400
02/12/2022,2269,WUXI BIO,60190842,3117885616
02/12/2022,2273,GUSHENGTANG,3915916,176216220
02/12/2022,2279,YONGHE MEDICAL,1492000,14621600
02/12/2022,2282,MGM CHINA,57126359,344471945
02/12/2022,2285,CHERVON,1049440,43289400
02/12/2022,2313,SHENZHOU INTL,11260339,820315696
02/12/2022,2314,LEE & MAN PAPER,10711037,31704670
02/12/2022,2318,PING AN,482818050,22595884740
02/12/2022,2319,MENGNIU DAIRY,35165865,1223772102
02/12/2022,2322,HK CHAOSHANG GP,1712000,1352480
02/12/2022,2328,PICC P&C,175451091,1300092584
02/12/2022,2331,LI NING,66363540,4074721356
02/12/2022,2333,GREATWALL MOTOR,334838670,3669831823
02/12/2022,2338,WEICHAI POWER,73340940,739276675
02/12/2022,2342,COMBA,22234374,31128124
02/12/2022,2343,PACIFIC BASIN,360507730,915689634
02/12/2022,2356,DAHSING BANKING,3488532,18524105
02/12/2022,2357,AVICHINA,40239344,141642491
02/12/2022,2359,WUXI APPTEC,24561477,1827373889
02/12/2022,2362,JINCHUAN INTL,101657840,60994704
02/12/2022,2378,PRU,0,0
02/12/2022,2380,CHINA POWER,259849473,717184545
02/12/2022,2382,SUNNY OPTICAL,20664918,1947668522
02/12/2022,2383,TOM GROUP,0,0
02/12/2022,2386,SINOPEC SEG,3398033,11043607
02/12/2022,2388,BOC HONG KONG,61126992,1494554954
02/12/2022,2390,ZHIHU-W,0,0
02/12/2022,2391,TUYA-W,0,0
02/12/2022,2392,XUANWU CLOUD,0,0
02/12/2022,2400,XD INC,25125131,503758877
